game_id,season_academic_year,game_date,game_date_utc,local_time_zone,duration_sec,periods_played,overtime_periods_played,is_exhibition,neutral_site,attendance,venue_name,venue_city,venue_state,venue_lat,venue_lon,team_id,school_id,team_name,is_home,is_win,team_score,team_game_number,sGames,sGoals,sAssists,sPoints,sShotAttempts,sTotalShotAttempts,sBlocks,sPlusMinus,sPowerPlayGoals,sTeamPowerPlayGoalAtt,sPowerPlayShots,sPowerPlayAssists,sPowerPlayPercentage,sShortHandedShots,sPenalties,sMinorPenalty,sMajorPenalty,sGameMisconduct,sPenaltyMinutes,sFaceoffsWon,sFaceoffsLost,sFaceoffPercentage,sGoalieMinutes,sGoalsAllowed,sSaves,sSavePercentage,sGoalsAgAverage,sGoals_p1,sShotAttempts_p1,sPenaltyMinutes_p1,sPenalties_p1,sFaceoffsWon_p1,sFaceoffsLost_p1,sGoalsAllowed_p1,sSaves_p1,sGoals_p2,sShotAttempts_p2,sPenaltyMinutes_p2,sPenalties_p2,sFaceoffsWon_p2,sFaceoffsLost_p2,sGoalsAllowed_p2,sSaves_p2,sGoals_p3,sShotAttempts_p3,sPenaltyMinutes_p3,sPenalties_p3,sFaceoffsWon_p3,sFaceoffsLost_p3,sGoalsAllowed_p3,sSaves_p3,boxscore_link,iframe_id,opponent_score,scoring_margin,travel_distance,rest_days,timezone_offset,timezone_shift,travel_distance_norm,rest_days_norm,timezone_shift_norm,travel_intensity,is_away,travel_intensity_category
5722690,2025,2024-11-29T19:00:00.000Z,2024-11-30T00:00:00.000Z,America/New_York,10200,3,0,False,True,9000,SSE arena Belfast,,,54.603643,-5.914228,592900,275,Harvard,False,False,2,9,1,2,2,4,31,58,19,-6.0,,1,1.0,,0.0,,3.0,3.0,,,6.0,31,31,0.5,3600.0,5,22,0.814814814814815,5.0,,4,2.0,1.0,7,15,3,7,2.0,16,2.0,1.0,10,10,0,6,,11,2.0,1.0,14,6,2,9,https://fightingirish.com/boxscore/412388/,5722690,5,-3,,,-5,,,,,,1,First Game
5722525,2025,2024-11-08T18:00:00.000Z,2024-11-08T23:00:00.000Z,America/Detroit,9720,4,1,False,False,5800,Yost Ice Arena,Ann Arbor,MI,42.267653,-83.740971,592910,418,Michigan,True,True,2,9,1,2,2,4,47,88,14,3.0,,4,8.0,,0.0,,4.0,4.0,,,8.0,51,28,0.645569620253165,3721.99998,1,18,0.947368421052632,0.967221928894261,,13,,,17,10,0,8,1.0,19,6.0,3.0,20,8,1,5,,11,2.0,1.0,13,9,0,5,https://fightingirish.com/boxscore/416749/,5722525,1,1,,,-5,,,,,,0,First Game
5722526,2025,2024-11-09T19:00:00.000Z,2024-11-10T00:00:00.000Z,America/Detroit,9540,3,0,False,False,5800,Yost Ice Arena,Ann Arbor,MI,42.267653,-83.740971,592910,418,Michigan,True,True,4,10,1,4,7,11,34,64,8,10.0,,4,8.0,,0.0,1.0,3.0,3.0,,,6.0,42,37,0.531645569620253,3600.0,2,27,0.931034482758621,2.0,2.0,16,2.0,1.0,13,15,1,6,1.0,8,2.0,1.0,11,9,1,12,1.0,10,2.0,1.0,18,13,0,9,https://fightingirish.com/boxscore/416750/,5722526,2,2,0.0,1.0,-5,0.0,0.0,0.9791666666666666,0.0,0.39166666666666666,0,Medium
5722453,2025,2025-01-17T19:00:00.000Z,2025-01-18T01:00:00.000Z,America/Chicago,7680,3,0,False,False,10362,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592912,428,Minnesota,True,True,5,26,1,5,7,12,46,78,10,15.0,,2,3.0,,0.0,1.0,1.0,1.0,,,2.0,21,23,0.477272727272727,3600.0,2,13,0.866666666666667,2.0,5.0,24,,,8,12,1,4,,10,2.0,1.0,7,7,1,5,,12,,,6,4,0,4,https://fightingirish.com/boxscore/416759/,5722453,2,3,,,-6,,,,,,0,First Game
5722454,2025,2025-01-18T17:00:00.000Z,2025-01-18T23:00:00.000Z,America/Chicago,9540,4,1,False,False,10346,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592912,428,Minnesota,True,False,3,27,1,3,5,8,33,58,10,-3.0,,2,,,0.0,,2.0,2.0,,,4.0,31,30,0.508196721311475,3826.00002,4,27,0.870967741935484,3.76372188309607,1.0,14,,,6,9,1,10,1.0,9,4.0,2.0,12,14,2,13,1.0,9,,,12,6,0,2,https://fightingirish.com/boxscore/416760/,5722454,4,-1,0.0,0.0,-6,0.0,0.0,1.0,0.0,0.4,0,Medium
6364024,2025,2025-03-07T20:00:00.000Z,2025-03-08T02:00:00.000Z,America/Chicago,9120,3,0,False,False,5551,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592912,428,Minnesota,True,False,2,38,1,2,4,6,32,68,4,-10.0,1.0,3,4.0,2.0,0.333333333333333,,2.0,2.0,,,4.0,29,30,0.491525423728814,3600.0,3,21,0.875,3.0,1.0,13,,,19,10,2,7,,11,4.0,2.0,6,12,1,8,1.0,8,,,4,8,0,6,https://fightingirish.com/boxscore/416771/,6364024,3,-1,0.0,48.0,-6,0.0,0.0,0.0,0.0,0.0,0,Low
6364025,2025,2025-03-08T20:00:00.000Z,2025-03-09T02:00:00.000Z,America/Chicago,9120,3,0,False,False,6331,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592912,428,Minnesota,True,True,4,39,1,4,7,11,35,67,13,5.0,1.0,2,3.0,2.0,0.5,,1.0,1.0,,,2.0,27,20,0.574468085106383,3600.0,2,21,0.91304347826087,2.0,,15,,,10,8,0,7,1.0,11,,,7,7,1,8,3.0,9,2.0,1.0,10,5,1,6,https://fightingirish.com/boxscore/434156/,6364025,2,2,0.0,1.0,-6,0.0,0.0,0.9791666666666666,0.0,0.39166666666666666,0,Medium
6364026,2025,2025-03-09T19:00:00.000Z,2025-03-10T00:00:00.000Z,America/Chicago,9000,3,0,False,False,4642,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592912,428,Minnesota,True,False,1,40,1,1,2,3,39,77,9,-20.0,1.0,3,5.0,2.0,0.333333333333333,,,,,,,27,36,0.428571428571429,3600.0,4,17,0.80952380952381,4.0,,14,,,10,9,1,6,,10,,,7,15,1,9,1.0,15,,,10,12,2,2,https://fightingirish.com/boxscore/434167/,6364026,4,-3,0.0,0.0,-6,0.0,0.0,1.0,0.0,0.4,0,Medium
5728388,2025,2024-10-11T19:00:00.000Z,2024-10-11T23:00:00.000Z,America/New_York,8700,3,0,False,False,1510,Appleton Arena,Canton,NY,44.5864296,-75.1660479,592923,513,Notre Dame,False,True,4,1,1,4,6,10,38,67,7,15.0,1.0,3,6.0,2.0,0.333333333333333,,3.0,3.0,,,6.0,34,33,0.507462686567164,3600.0,1,32,0.96969696969697,1.0,1.0,14,4.0,2.0,6,12,1,6,2.0,14,,,12,11,0,8,1.0,10,4.0,2.0,16,10,0,18,https://fightingirish.com/boxscore/412382/,5728388,1,3,,,-5,,,,,,1,First Game
5728391,2025,2024-10-12T19:00:00.000Z,2024-10-12T23:00:00.000Z,America/New_York,9540,3,0,False,False,3110,Cheel Arena,Potsdam,NY,44.6639109,-75.0020218,592923,513,Notre Dame,False,True,5,2,1,5,7,12,27,61,11,5.0,2.0,4,4.0,4.0,0.5,1.0,3.0,3.0,,,6.0,29,18,0.617021276595745,3600.0,2,30,0.9375,2.0,,6,2.0,1.0,6,5,2,8,1.0,9,2.0,1.0,11,6,0,11,4.0,12,2.0,1.0,12,7,0,11,https://fightingirish.com/boxscore/412383/,5728391,2,3,9.681463049389736,1.0,-5,0.0,0.002722625604733346,0.9791666666666666,0.0,0.39275571690856,1,Medium
